subject,file,link,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine,smell
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L53,53,44,1,10,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L77,77,46,2,10,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L92,92,26,1,5,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L192,192,40,1,5,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L243,243,49,1,8,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L27,27,60,2,8,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L52,52,46,1,9,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L77,77,60,2,12,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L144,144,75,1,20,1,0,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L145,145,79,1,20,1,0,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L146,146,59,1,17,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L177,177,54,1,7,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L79,79,46,2,10,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/python_features/extract_features.py,https://github.com/karpathy/neuraltalk/blame/master/python_features/extract_features.py#L67,67,31,1,5,0,0,0,False
