subject,file,link,lineno,NBC,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/cli.py#L9,9,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/cli.py#L10,10,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/cli.py#L10,10,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/cli.py#L9,9,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L602,602,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/preview/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/preview/cli.py#L9,9,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L26,26,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L238,238,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L277,277,1,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/cli.py#L9,9,1,0,0,0,False
