subject,file,link,lineno,NOC,PAR,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/cli.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/cli.py#L165,165,33,1,4,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/frameviewer/editor/_base.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/frameviewer/editor/_base.py#L623,623,42,0,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L272,272,22,1,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/media.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/media.py#L327,327,23,1,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L865,865,12,1,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/alignments/jobs.py,https://github.com/deepfakes/faceswap/blame/master/tools/alignments/jobs.py#L940,940,14,1,3,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L360,360,30,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/_base.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/_base.py#L363,363,30,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/train/model/realface.py,https://github.com/deepfakes/faceswap/blame/master/plugins/train/model/realface.py#L61,61,42,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/plugins/extract/pipeline.py,https://github.com/deepfakes/faceswap/blame/master/plugins/extract/pipeline.py#L618,618,27,1,4,0,0,0,False
