subject,file,link,lineno,LMC,experience-based,statistics-based,tuning machine,smell
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L65,65,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L65,65,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L188,188,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L226,226,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L229,229,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L232,232,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L235,235,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L243,243,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L250,250,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L255,255,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L214,214,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L222,222,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L248,248,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L50,50,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L53,53,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L54,54,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L85,85,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L94,94,2,0,0,0,False
