subject,file,link,lineno,MLOC,experience-based,statistics-based,tuning machine,smell
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/eval_sentence_predictions.py,https://github.com/karpathy/neuraltalk/blame/master/eval_sentence_predictions.py#L16,16,62,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L14,14,9,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L34,34,5,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L47,47,25,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L100,100,14,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L131,131,9,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/py_caffe_feat_extract.py,https://github.com/karpathy/neuraltalk/blame/master/py_caffe_feat_extract.py#L158,158,23,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L16,16,25,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L58,58,38,1,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L117,117,109,1,1,1,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/driver.py,https://github.com/karpathy/neuraltalk/blame/master/driver.py#L155,155,1,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/predict_on_images.py,https://github.com/karpathy/neuraltalk/blame/master/predict_on_images.py#L29,29,45,1,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/python_features/extract_features.py,https://github.com/karpathy/neuraltalk/blame/master/python_features/extract_features.py#L34,34,3,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/python_features/extract_features.py,https://github.com/karpathy/neuraltalk/blame/master/python_features/extract_features.py#L47,47,26,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/solver.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/solver.py#L11,11,2,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/solver.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/solver.py#L15,15,45,1,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/solver.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/solver.py#L89,89,34,0,1,0,True
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L7,7,5,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L22,22,21,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L52,52,26,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L104,104,24,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/generic_batch_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/generic_batch_generator.py#L138,138,12,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L11,11,8,0,0,0,False
neural-talk,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/neural-talk/imagernn/lstm_generator.py,https://github.com/karpathy/neuraltalk/blame/master/imagernn/lstm_generator.py#L26,26,56,1,1,1,True
